,Name,last-zeros,inter_max,nb_peaks,inter_mean,inter_std,inter_rel,mass_center,mass_center_sqr,mass_moment,r_moment,log_total_usage,Label,Target
1728,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12163433/ALLSTREAMS.DST,14,0,1,0.0,0.0,0.0,92,152352,0,0,2.9444389791664403,1,0.0
1729,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12163470/ALLSTREAMS.DST,16,1,2,1.0,0.0,0.0,89,547757,51,0,4.23410650459726,1,0.0
1730,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12163473/ALLSTREAMS.DST,16,1,2,1.0,0.0,0.0,89,547757,51,0,4.23410650459726,1,0.0
1731,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12163491/ALLSTREAMS.DST,27,0,1,0.0,0.0,0.0,79,149784,0,0,3.2188758248682006,1,0.0
1732,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12163492/ALLSTREAMS.DST,27,0,1,0.0,0.0,0.0,79,149784,0,0,3.2188758248682006,1,0.0
1733,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12163600/ALLSTREAMS.DST,14,0,1,0.0,0.0,0.0,92,143888,0,0,2.8903717578961645,1,0.0
1734,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12163601/ALLSTREAMS.DST,14,0,1,0.0,0.0,0.0,92,152352,0,0,2.9444389791664403,0,0.6923076923076923
1735,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12165051/ALLSTREAMS.DST,3,1,4,1.0,0.0,0.0,101,3680340,203,0,5.886104031450156,0,2.230769230769231
1736,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12165080/ALLSTREAMS.DST,14,0,1,0.0,0.0,0.0,92,143888,0,0,2.8903717578961645,1,0.0
1737,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12165081/ALLSTREAMS.DST,14,0,1,0.0,0.0,0.0,92,143888,0,0,2.8903717578961645,1,0.0
1738,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12165151/ALLSTREAMS.DST,10,11,3,7.5,3.5,0.4666666666666667,89,4449578,22629,41,6.313548046277095,0,3.576923076923077
1739,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12165153/ALLSTREAMS.DST,10,10,4,5.0,3.7416573867739413,0.7483314773547882,88,5075443,25827,40,6.464588303689961,0,3.6153846153846154
1740,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12165155/ALLSTREAMS.DST,10,10,4,5.0,3.7416573867739413,0.7483314773547882,88,1131768,6072,42,4.969813299576001,0,0.7692307692307693
1741,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12165157/ALLSTREAMS.DST,10,10,3,7.0,3.0,0.42857142857142855,90,1031456,4376,34,4.844187086458591,0,0.7692307692307693
1742,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12203001/ALLSTREAMS.DST,4,0,1,0.0,0.0,0.0,102,1206864,0,0,4.762173934797756,1,0.0
1743,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12203021/ALLSTREAMS.DST,4,0,1,0.0,0.0,0.0,102,1227672,0,0,4.77912349311153,1,0.0
1744,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12463411/ALLSTREAMS.DST,23,0,1,0.0,0.0,0.0,83,620010,0,0,4.51085950651685,1,0.0
1745,/MC/2011/Beam3500GeV-2011-MagDown-Nu2-Pythia8/Sim08e/Digi13/Trig0x40760037/Reco14a/Stripping20r1NoPrescalingFlagged/12463412/ALLSTREAMS.DST,23,0,1,0.0,0.0,0.0,83,620010,0,0,4.51085950651685,1,0.0
